reviewer_row_id,paper_id,title,dataset_name,n_subjects,n_sessions,eeg_channels,sampling_rate_hz,emotion_model,class_labels,class_balance,preproc_in_cv,model_family,adaptation_method,target_data_used,target_labels_used,subject_independent,split_type,n_folds,cross_setting,train_val_test_separation,model_selection_strategy,metric,result_mean,result_sd,result_ci,per_subject_reported,statistical_test,mean_or_best,protocol_category,leakage_categories,risk_rating,risk_evidence,ambiguity_notes,include_meta,primary_result,verification_status,source_checked,reviewer_source_location,reviewer_notes,author_protocol_label,author_protocol_label_location,verified_protocol_from_methods,verified_protocol_evidence_location,protocol_label_match,protocol_mismatch_type,verified_subject_disjoint,target_access_verified,protocol_audit_decision,reviewer_protocol_confidence
HME-0011,EEG-0007,A Bi-Hemisphere Domain Adversarial Neural Network Model for EEG Emotion Recognition,SEED,15,3,62,200 (downsampled),discrete/categorical,negative/neutral/positive (3),balanced,unclear (released DE features),bi-hemisphere domain adversarial NN,domain-adversarial (global+local discriminators; BiDANN-S adds subject discriminator),unlabeled-target (transductive),no,yes,leave-one-subject-out (LOSO),15,cross-subject,subject-disjoint (LOSO),unclear,accuracy,84.14,6.87,,no,paired t-test (vs baselines),mean,cross-subject transductive domain adaptation (LOSO),none,low,LOSO subject-disjoint; unlabeled target used adversarially (disclosed); plausible ~84%,,yes,yes,verified,full-text,"Table 5 (subject-independent LOSO, all-band)","BiDANN-S (with subject discriminator) SEED SI-LOSO all-band = 84.14/6.87. Conventional/subject-dependent BiDANN = 92.38/7.04 (Table 2, excluded).",subject-independent / cross-subject,Sec 4/5 (BiDANN-S),LOSO subject-independent with unlabeled target (transductive DA),Sec 5 'leave-one-subject-out (LOSO)',match,,yes,unlabeled-target-data,pool-with-cross-subject,high
HME-0012,EEG-0007,A Bi-Hemisphere Domain Adversarial Neural Network Model for EEG Emotion Recognition,SEED,15,3,62,200 (downsampled),discrete/categorical,negative/neutral/positive (3),balanced,unclear (released DE features),bi-hemisphere domain adversarial NN,domain-adversarial (global+local discriminators; BiDANN-S adds subject discriminator),unlabeled-target (transductive),no,yes,leave-one-subject-out (LOSO),15,cross-subject,subject-disjoint (LOSO),unclear,accuracy,83.28,9.60,,no,paired t-test (vs baselines),mean,cross-subject transductive domain adaptation (LOSO),none,low,LOSO subject-disjoint; unlabeled target used adversarially (disclosed); plausible ~84%,,yes,no,verified,full-text,"Table 5 (subject-independent LOSO, all-band)",BiDANN base model SEED SI-LOSO all-band = 83.28/9.60.,subject-independent / cross-subject,Sec 4/5 (BiDANN-S),LOSO subject-independent with unlabeled target (transductive DA),Sec 5 'leave-one-subject-out (LOSO)',match,,yes,unlabeled-target-data,pool-with-cross-subject,high
HME-0013,EEG-0008,A Novel Bi-hemispheric Discrepancy Model (BiHDM) for EEG Emotion Recognition,SEED,15,3,62,200 (downsampled from 1000),discrete/categorical,negative/neutral/positive (3),balanced,unclear (released features),bi-hemispheric discrepancy model (directed RNNs + pairwise),domain-adversarial discriminator,unlabeled-target (transductive),no,yes,leave-one-subject-out (LOSO),15,cross-subject,subject-disjoint (LOSO),unclear,accuracy,93.12,"not verified (Table I columnar, not text-extractable)",,no,paired t-test vs BiDANN,mean,cross-subject transductive domain adaptation (LOSO),none,low,explicit LOSO subject-disjoint; unlabeled target used (disclosed); plausible accuracy,result_sd present in Table I but not machine-readable; retrieve for meta weighting.,yes,yes,verified,full-text,Table I; Sec IV (LOSO). result_sd not text-extractable from columnar Table I,"BiHDM full model SEED=93.12 (also MPED=40.34, not extracted as separate row).",cross-subject (subject-independent),Abstract; Sec IV,LOSO subject-independent with unlabeled target (transductive DA),Sec IV 'leave-one-subject-out (LOSO)',match,,yes,unlabeled-target-data,pool-with-cross-subject,high
HME-0014,EEG-0008,A Novel Bi-hemispheric Discrepancy Model (BiHDM) for EEG Emotion Recognition,SEED-IV,15,3,62,200 (downsampled from 1000),discrete/categorical,happy/sad/fear/neutral (4),balanced,unclear (released features),bi-hemispheric discrepancy model (directed RNNs + pairwise),domain-adversarial discriminator,unlabeled-target (transductive),no,yes,leave-one-subject-out (LOSO),15,cross-subject,subject-disjoint (LOSO),unclear,accuracy,74.35,"not verified (Table I columnar, not text-extractable)",,no,paired t-test vs BiDANN,mean,cross-subject transductive domain adaptation (LOSO),none,low,explicit LOSO subject-disjoint; unlabeled target used (disclosed); plausible accuracy,result_sd not machine-readable from Table I.,yes,no,verified,full-text,Table I; Sec IV (LOSO). result_sd not text-extractable from columnar Table I,BiHDM full model SEED-IV=74.35.,cross-subject (subject-independent),Abstract; Sec IV,LOSO subject-independent with unlabeled target (transductive DA),Sec IV 'leave-one-subject-out (LOSO)',match,,yes,unlabeled-target-data,pool-with-cross-subject,high
HME-0015,EEG-0014,Cross-Subject EEG Emotion Recognition With Self-Organized Graph Neural Network,SEED,15,3,62,200 (downsampled),discrete/categorical,negative/neutral/positive (3),balanced,unclear,self-organized graph neural network (SOGNN),"none (self-organized GNN; LOSO, not DA)",none,no,yes,leave-one-subject-out (LOSO),15,cross-subject,subject-disjoint,unclear,accuracy,86.81,5.79,,no,none reported,mean,cross-subject LOSO (inductive),none,low,"LOSO subject-disjoint, no target access; SEED 86.81/5.79.",,yes,yes,verified,full-text,"Results (SOGNN SEED 86.81/5.79, SEED-IV 75.27/8.19)",SOGNN SEED LOSO 86.81/5.79.,cross-subject,Abstract,LOSO subject-independent (inductive),Abstract 'leave-one-subject-out experiments',match,,yes,none,pool-with-cross-subject,high
HME-0016,EEG-0014,Cross-Subject EEG Emotion Recognition With Self-Organized Graph Neural Network,SEED-IV,15,3,62,200 (downsampled),discrete/categorical,happy/sad/fear/neutral (4),balanced,unclear,self-organized graph neural network (SOGNN),"none (self-organized GNN; LOSO, not DA)",none,no,yes,leave-one-subject-out (LOSO),15,cross-subject,subject-disjoint,unclear,accuracy,75.27,8.19,,no,none reported,mean,cross-subject LOSO (inductive),none,low,"LOSO subject-disjoint, no target access; SEED 86.81/5.79.",,yes,no,verified,full-text,"Results (SOGNN SEED 86.81/5.79, SEED-IV 75.27/8.19)",SOGNN SEED-IV LOSO 75.27/8.19.,cross-subject,Abstract,LOSO subject-independent (inductive),Abstract 'leave-one-subject-out experiments',match,,yes,none,pool-with-cross-subject,high
HME-0017,EEG-0015,EmT: A Novel Transformer for Generalized Cross-subject EEG Emotion Recognition,SEED,15,3,62,200 (downsampled),discrete/categorical,negative/neutral/positive (3),balanced,unclear (rPSD features),transformer (EmT; RMPG + temporal contextual),none (domain generalization),none,no,yes,generalized cross-subject (leave-subjects-out; no target access),unclear,cross-subject (domain generalization),subject-disjoint; no target data in training,architecture variant selected (EmT-D best for SEED),accuracy,80.2,11.5,,no,none reported,mean (best variant EmT-D),domain generalization (inductive cross-subject),none,low,"domain generalization, no target access; realistic 80.2%",,yes,yes,verified,"full-text (Table II, p.10388 visual read)","Table II (SEED ACC 0.802/0.115), p.10388",EmT-D best on SEED (0.802 ACC/0.115). Also THU-EP (EmT-B 0.595) & FACED (EmT-B 0.608) classification; MAHNOB-HCI regression. Reported as ACC fraction; =80.2%.,generalized cross-subject,Title; Abstract; Sec III,"domain generalization (inductive cross-subject, no target access)",Sec III/IV; Table II 'Generalized Emotion Classification',match,,yes,none,pool-with-cross-subject,high
HME-0018,EEG-0016,EEGFuseNet: Hybrid Unsupervised Deep Feature Characterization and Fusion for High-Dimensional EEG with An Application to Emotion Recognition,SEED,15,3,62,200 (downsampled),discrete/categorical,negative/neutral/positive (3),balanced,LOSO used explicitly to avoid information leaking (authors' statement),unsupervised deep (conv-recurrent GAN) + hypergraph decoding,unsupervised feature learning (no labels in feature training),none (unsupervised; LOSO evaluation),no,yes,leave-one-subject-out (LOOCV),15,cross-subject,subject-disjoint (LOSO),unclear,"accuracy (Pacc), 3-class",59.06,not reported (single value),,no,none reported,mean,cross-subject LOSO (unsupervised),none,low,explicit LOSO 'to avoid information leaking'; low unsupervised accuracy (59.06%) is plausible,,yes,yes,verified,full-text,Sec IV (SEED 3-class 59.06%); Table (DEAP Pacc); Sec 'Experiment Protocols',Unsupervised. SEED 3-class Pacc=59.06% (chosen primary). DEAP Pacc: valence 60.64/arousal 62.06/dominance 67.08/liking 74.63 (per-dimension binary).,subject-independent (LOOCV),Sec 'Experiment Protocols',LOSO subject-independent (unsupervised),Sec IV.B 'leave-one-subject-out cross-validation ... avoid information leaking',match,,yes,none,pool-with-cross-subject,high
HME-0019,EEG-0017,MTLFuseNet: A novel emotion recognition model based on deep latent feature fusion of EEG signals and multi-task learning,DEAP,32,1,32,128 (downsampled),dimensional,valence (binary),,unclear,VAE + GCN + GRU multi-task fusion (MTLFuseNet),"none (multi-task fusion; LOSO, not DA)",none,no,yes,leave-one-subject-out (LOSO),,cross-subject,subject-disjoint,unclear,accuracy,71.33,5.24,,no,none reported,mean,cross-subject subject-independent (inductive),none,low,"LOSO subject-disjoint, no target; realistic DEAP ~71-73%, DREAMER ~80-83%.",,yes,yes,verified,full-text,Results (MTLFuseNet: DEAP val 71.33/5.24 aro 73.28; DREAMER val 80.43/8.01 aro 83.33),MTLFuseNet DEAP valence LOSO 71.33/5.24.,subject-independent,Abstract,LOSO subject-independent (inductive),Abstract 'subject-independent leave-one-subject-out cross-validation',match,,yes,none,pool-with-cross-subject,high
HME-0020,EEG-0017,MTLFuseNet: A novel emotion recognition model based on deep latent feature fusion of EEG signals and multi-task learning,DEAP,32,1,32,128 (downsampled),dimensional,arousal (binary),,unclear,VAE + GCN + GRU multi-task fusion (MTLFuseNet),"none (multi-task fusion; LOSO, not DA)",none,no,yes,leave-one-subject-out (LOSO),,cross-subject,subject-disjoint,unclear,accuracy,73.28,not verified,,no,none reported,mean,cross-subject subject-independent (inductive),none,low,"LOSO subject-disjoint, no target; realistic DEAP ~71-73%, DREAMER ~80-83%.",,yes,no,verified,full-text,Results (MTLFuseNet: DEAP val 71.33/5.24 aro 73.28; DREAMER val 80.43/8.01 aro 83.33),MTLFuseNet DEAP arousal LOSO 73.28.,subject-independent,Abstract,LOSO subject-independent (inductive),Abstract 'subject-independent leave-one-subject-out cross-validation',match,,yes,none,pool-with-cross-subject,high
HME-0021,EEG-0017,MTLFuseNet: A novel emotion recognition model based on deep latent feature fusion of EEG signals and multi-task learning,DREAMER,23,1,14,128,dimensional,valence (binary),,unclear,VAE + GCN + GRU multi-task fusion (MTLFuseNet),"none (multi-task fusion; LOSO, not DA)",none,no,yes,leave-one-subject-out (LOSO),,cross-subject,subject-disjoint,unclear,accuracy,80.43,8.01,,no,none reported,mean,cross-subject subject-independent (inductive),none,low,"LOSO subject-disjoint, no target; realistic DEAP ~71-73%, DREAMER ~80-83%.",,yes,no,verified,full-text,Results (MTLFuseNet: DEAP val 71.33/5.24 aro 73.28; DREAMER val 80.43/8.01 aro 83.33),MTLFuseNet DREAMER valence LOSO 80.43/8.01.,subject-independent,Abstract,LOSO subject-independent (inductive),Abstract 'subject-independent leave-one-subject-out cross-validation',match,,yes,none,pool-with-cross-subject,high
HME-0022,EEG-0017,MTLFuseNet: A novel emotion recognition model based on deep latent feature fusion of EEG signals and multi-task learning,DREAMER,23,1,14,128,dimensional,arousal (binary),,unclear,VAE + GCN + GRU multi-task fusion (MTLFuseNet),"none (multi-task fusion; LOSO, not DA)",none,no,yes,leave-one-subject-out (LOSO),,cross-subject,subject-disjoint,unclear,accuracy,83.33,not verified,,no,none reported,mean,cross-subject subject-independent (inductive),none,low,"LOSO subject-disjoint, no target; realistic DEAP ~71-73%, DREAMER ~80-83%.",,yes,no,verified,full-text,Results (MTLFuseNet: DEAP val 71.33/5.24 aro 73.28; DREAMER val 80.43/8.01 aro 83.33),MTLFuseNet DREAMER arousal LOSO 83.33.,subject-independent,Abstract,LOSO subject-independent (inductive),Abstract 'subject-independent leave-one-subject-out cross-validation',match,,yes,none,pool-with-cross-subject,high
HME-0023,EEG-0024,EEGMatch: Learning with Incomplete Labels for Semi-Supervised EEG-based Cross-Subject Emotion Recognition,SEED,15,3,62,200 (downsampled),discrete/categorical,negative/neutral/positive (3),balanced,unclear,semi-supervised transfer (EEGMatch: EEG-Mixup + prototype pairwise + domain adaptation),semi-supervised domain adaptation (labeled+unlabeled source; unlabeled target),unlabeled-target (transductive),no,yes,"leave-one-subject-out (LOSO), semi-supervised (incomplete source labels)",,cross-subject,subject-disjoint (LOSO),unclear,accuracy (mean over incomplete-label N conditions),91.35,7.03,,no,none reported,mean (averaged across N label conditions),"cross-subject LOSO, semi-supervised (partial source labels)",none,low,LOSO subject-disjoint; target unlabeled; 'incomplete labels' are in source not target,"Reported accuracy is averaged over incomplete-label conditions (N), not a single canonical LOSO run.",yes,yes,verified,full-text,"Results (SEED 91.35/07.03 avg N=3,6,9,12; SEED-IV 65.53/08.31)",SEED-V also reported (62.75/09.02); rows limited to SEED & SEED-IV.,semi-supervised cross-subject (LOSO),Abstract; Experiments,"LOSO cross-subject, semi-supervised (unlabeled target; partial source labels)",Abstract 'cross-subject leave-one-subject-out cross-validation',match,,yes,unlabeled-target-data,pool-with-cross-subject,high
HME-0024,EEG-0024,EEGMatch: Learning with Incomplete Labels for Semi-Supervised EEG-based Cross-Subject Emotion Recognition,SEED-IV,15,3,62,200 (downsampled),discrete/categorical,happy/sad/fear/neutral (4),balanced,unclear,semi-supervised transfer (EEGMatch: EEG-Mixup + prototype pairwise + domain adaptation),semi-supervised domain adaptation (labeled+unlabeled source; unlabeled target),unlabeled-target (transductive),no,yes,"leave-one-subject-out (LOSO), semi-supervised (incomplete source labels)",,cross-subject,subject-disjoint (LOSO),unclear,accuracy (mean over incomplete-label N conditions),65.53,8.31,,no,none reported,mean (averaged across N label conditions),"cross-subject LOSO, semi-supervised (partial source labels)",none,low,LOSO subject-disjoint; target unlabeled; 'incomplete labels' are in source not target,"Reported accuracy is averaged over incomplete-label conditions (N), not a single canonical LOSO run.",yes,no,verified,full-text,"Results (SEED 91.35/07.03 avg N=3,6,9,12; SEED-IV 65.53/08.31)",,semi-supervised cross-subject (LOSO),Abstract; Experiments,"LOSO cross-subject, semi-supervised (unlabeled target; partial source labels)",Abstract 'cross-subject leave-one-subject-out cross-validation',match,,yes,unlabeled-target-data,pool-with-cross-subject,high
HME-0025,EEG-0042,PR-PL: A Novel Transfer Learning Framework with Prototypical Representation based Pairwise Learning for EEG-Based Emotion Recognition,SEED,15,3,62,200 (downsampled),discrete/categorical,negative/neutral/positive (3),balanced,unclear,prototypical representation + pairwise learning (PR-PL),transfer learning: feature alignment + adaptive pseudo-labeling on target,unlabeled-target (transductive; pseudo-labels),no,yes,cross-subject (paper reports 4 different CV protocols),varies by protocol,cross-subject,subject-disjoint; target data (unlabeled) seen in training,unclear,accuracy,93.18,6.55,,no,none reported,mean,cross-subject transductive domain adaptation,none,moderate,Multiple protocols reported (SEED range ~85.6-94.8); 'which is primary' ambiguity; transductive target use disclosed,"Paper reports FOUR cross-validation protocols. SEED values seen: 85.56/4.78, 93.06/5.12, 93.18/6.55, 94.84/9.16; SEED-IV: 74.62/14.15, 74.92/7.92, 83.33/10.61. Chosen 93.18/74.62 as commonly-cited; PRIMARY-NUMBER AMBIGUITY.",yes,yes,verified,full-text,Abstract & results (multiple protocol tables),PR-PL. NOTE: EEG-0042 (arXiv preprint) and EEG-0340 (TAFFC journal) appear to be the SAME work -> double-counting risk.,cross-subject / transfer learning,Title; Abstract,cross-subject transductive DA (unlabeled target + pseudo-labels); 4 CV protocols,Abstract 'four different cross-validation evaluation protocols',partial-match,metric-selection-or-best-run-reporting,yes,unlabeled-target-data,needs-adjudication,moderate
HME-0026,EEG-0042,PR-PL: A Novel Transfer Learning Framework with Prototypical Representation based Pairwise Learning for EEG-Based Emotion Recognition,SEED-IV,15,3,62,200 (downsampled),discrete/categorical,happy/sad/fear/neutral (4),balanced,unclear,prototypical representation + pairwise learning (PR-PL),transfer learning: feature alignment + adaptive pseudo-labeling on target,unlabeled-target (transductive; pseudo-labels),no,yes,cross-subject (paper reports 4 different CV protocols),varies by protocol,cross-subject,subject-disjoint; target data (unlabeled) seen in training,unclear,accuracy,74.62,14.15,,no,none reported,mean,cross-subject transductive domain adaptation,none,moderate,Multiple protocols reported (SEED range ~85.6-94.8); 'which is primary' ambiguity; transductive target use disclosed,"Paper reports FOUR cross-validation protocols. SEED values seen: 85.56/4.78, 93.06/5.12, 93.18/6.55, 94.84/9.16; SEED-IV: 74.62/14.15, 74.92/7.92, 83.33/10.61. Chosen 93.18/74.62 as commonly-cited; PRIMARY-NUMBER AMBIGUITY.",yes,no,verified,full-text,Abstract & results (multiple protocol tables),Same work as EEG-0340 (double-counting risk).,cross-subject / transfer learning,Title; Abstract,cross-subject transductive DA (unlabeled target + pseudo-labels); 4 CV protocols,Abstract 'four different cross-validation evaluation protocols',partial-match,metric-selection-or-best-run-reporting,yes,unlabeled-target-data,needs-adjudication,moderate
HME-0027,EEG-0054,Calibration free meta learning based approach for subject independent EEG emotion recognition,DEAP,32,1,32,128 (downsampled),dimensional,valence (binary),,unclear,"few-shot meta-learning (Raw EEG + 3D CNN, episodic)","episodic meta-learning; zero-calibration (Setup II uses SI reference samples, no target)",none,no,yes,"subject-independent (zero-calibration, Setup II)",,cross-subject,subject-disjoint,unclear,accuracy,69.92,not reported,,no,none reported,mean,cross-subject subject-independent (inductive),none,low,Zero-calibration Setup II = subject-independent (reference samples from OTHER subjects). DEAP val 69.92/aro 68.89.,"Setup II (zero-calibration, SI): val 69.92 (+2.02), aro 68.89 (+0.61). Setup I (uses same-subject reference samples): val 76.46, aro 75.81.",yes,yes,verified,full-text,"Results (Proposed Setup II: DEAP val 69.92, aro 68.89)",Calibration-free meta-learning DEAP valence zero-calibration (Setup II) 69.92. Setup I (same-subject refs) 76.46.,subject-independent,Abstract,subject-independent zero-calibration (Setup II; no target samples),Table (Proposed Test Setup II),match,,yes,none,pool-with-cross-subject,moderate
