search_id,date_run,database,query_string,filters_applied,hits_returned,records_exported,source_type,run_by,notes
S034,2026-06-24,WebSearch,Plug-and-Play Domain Adaptation PPDA Zhao Lu SEED accuracy 86.7 standard deviation leave-one-subject-out,2010-present,8,1,primary-reconfirmation,Claude,"PPDA ~86.7/0.071 corroborated by 2nd independent secondary; outperforms DG baselines DICA/DResNet; AAAI PDF binary"
S035,2026-06-24,user-supplied-PDF,Personalizing EEG-Based Affective Models with Transfer Learning (IJCAI-16 388.pdf),none,1,1,extraction-verification,Claude,"FULL TEXT (root-folder PDF): Table 1 TPT 76.31/15.89 (best of 5); generic SVM 56.73/16.29; T-SVM 72.53; explicit transductive LOSO; SEED 62ch 1-75Hz DE 1s; ANOVA p<0.01; EEG-0003 -> verified-from-fulltext"
S036,2026-06-24,user-supplied-PDF,Plug-and-Play Domain Adaptation for Cross-Subject EEG-based Emotion Recognition (AAAI-21),none,1,1,extraction-verification,Claude,"FULL TEXT (root-folder PDF): Table 2 PPDA(Few) 86.7/7.1; PPDA_NC 85.4/7.1; best baseline WGANDA 87.1; SEED 0-75Hz DE 45s calibration; few UNLABELED target; EEG-0004 -> verified-from-fulltext"
S037,2026-06-24,user-supplied-PDF,EEGFuseNet (IEEE TNSRE vol29 2021 pp1913-1925),none,1,1,extraction-verification,Claude,"FULL TEXT (root-folder PDF): NO-FABRICATION CATCH - 72.81 NOT in paper. DEAP subj-indep unsupervised LOSO acc V56.44/A58.55/D61.71/Liking65.89 (F1 70.83/72.00/74.32/78.46); SEED 3cls 59.06/2cls 80.83; MAHNOB V60.64/A62.06; no SD in tables; EEG-0016 -> verified-from-fulltext"
S038,2026-06-24,user-supplied-PDF,MTLFuseNet (Knowledge-Based Systems vol276 2023 110756),none,1,1,extraction-verification,Claude,"FULL TEXT (root-folder PDF): Table 4 DREAMER V80.43/8.01 A83.33/11.24; Table 3 DEAP V71.33/5.24 A73.28/7.74; subject-independent LOSOCV inductive; strong DL baselines (EEGNet/DGCNN/Tsception/SSTD); EEG-0017 -> verified-from-fulltext"
S039,2026-06-24,PubMed (E-utilities esearch),"(EEG OR electroencephalography)[TIAB] AND (emotion recognition OR affective computing OR emotion)[TIAB] AND (cross-subject OR subject-independent OR leave-one-subject-out OR domain adaptation OR domain generalization OR transfer learning)[TIAB]",2010-present implied by corpus,276,100,literature-screening,Claude,"REAL DATABASE COUNT via public NCBI E-utilities API: <Count>276</Count>; first 100 PMIDs captured; full t/a screening of the 276 pool pending - high-relevance subset triaged this pass"
S040,2026-06-24,arXiv (export API),"all:EEG AND all:emotion AND (all:cross-subject OR all:subject-independent OR all:domain adaptation OR all:domain generalization)",cs.LG/eess.SP etc,80,0,literature-screening,Claude,"arXiv API query #1 timed out (60s) on first attempt; rerun as S041"
S041,2026-06-24,arXiv (export API),all:EEG AND all:emotion AND all:cross-subject,none,63,39,literature-screening,Claude,"REAL DATABASE COUNT via public arXiv API: <opensearch:totalResults>63</opensearch:totalResults>; 39 entries with ids+titles+years captured; surfaced EEG-0020..0049 (CLISA/PR-PL/DAGAM/EEGMatch/FreqDGT/DAMSDAN/foundation-pretraining/etc.) + SURV-0002 + out-of-scope EEG-X001"
S042,2026-06-24,Semantic Scholar (Graph API),EEG emotion recognition cross-subject domain adaptation,none,0,0,literature-screening,Claude,"NOT RETRIEVED - public API returned HTTP 429 Too Many Requests on 2 attempts; count not obtained this pass, logged as access-limited (retry later, do not fabricate)"
S043,2026-06-24,WebSearch,AMIGOS dataset EEG cross-subject subject-independent LOSO emotion recognition accuracy valence arousal,2010-present,10,2,literature-screening,Claude,"AMIGOS coverage probe: Miranda-Correa baseline F1 V0.576/A0.592 (GNB short-video) surfaced; candidates EEG-0041 dynamic-entropy + EEG-0057 channel-wise; AMIGOS clean per-dataset LOSO primary still sparse"
S044,2026-06-24,WebSearch,cross-dataset EEG emotion recognition domain generalization SEED DEAP unseen subject 2024 2025 accuracy,2010-present,10,6,literature-screening,Claude,"Cross-dataset sweep: surfaced EEG-0047 (UDA), EEG-0048 (SDA-DDA), EEG-0043 (DAMSDAN), EEG-0051 (DSP-EmotionNet), EEG-0022 (collaborative DG), EEG-0053 (ViT cross-dataset 93.14/93.53 - leakage flag)"
S045,2026-06-24,WebSearch,source-free test-time adaptation EEG emotion recognition cross-subject SEED accuracy 2024 2025,2010-present,10,3,literature-screening,Claude,"SFDA/TTA sweep: corroborated EEG-0011 source-free (DEAP->SEED 65.84/reverse 58.99); surfaced EEG-0052 MS-AGDA (SEED 92.54), EEG-0046 dynamic-contrastive DA, inter-domain hybridization (SEED 90.27)"
S046,2026-06-24,WebSearch,MAHNOB-HCI cross-subject subject-independent EEG emotion recognition LOSO valence arousal accuracy,2010-present,10,1,literature-screening,Claude,"MAHNOB-HCI probe: EEGFuseNet MAHNOB V60.64/A62.06/D67.08/Pred74.63 (consistent w/ EEG-0016 full text); DANN arousal 68.13/8.45 surfaced (secondary); MAHNOB LOSO primaries remain thin"
S047,2026-06-24,WebSearch,few-shot calibration meta-learning EEG emotion recognition cross-subject SEED DEAP subject-independent accuracy,2010-present,10,3,literature-screening,Claude,"Few-shot/calibration sweep: surfaced EEG-0054 calibration-free meta-learning (SEED 98.09/DEAP 98.06 - IMPLAUSIBLE, prime leakage-inflation case), EEG-0055 FLADA, SURV-0003 few-shot survey; note SDA-FSL reports DEAP 72.81 = likely true origin of the number wrongly attributed to EEGFuseNet"
S048,2026-06-24,WebSearch,EEG emotion recognition data leakage subject/normalization leakage cross-subject inflated accuracy pitfalls evaluation,2010-present,10,2,literature-screening,Claude,"Leakage/methodology sweep: surfaced EEG-0050 Stratified-Normalization (Fdez 2021, normalization-leakage exemplar) + EEG-0027 'What Causes Performance Degradation in Cross-Subject EEG Classification?' (methodological, Discussion); confirms leakage-inflation thesis has named exemplars"
S049,2026-06-24,IEEE Xplore (MCP),ieee searcher: EEG / deep learning / emotion recognition / EEG emotion recognition cross-subject domain adaptation,none,0,0,connectivity-check,Claude,"MCP FAILURE: ieee-xplore MCP returned 'No papers found' for the real query AND for trivial single-word probes (EEG, deep learning, emotion recognition). Server responds without transport error but returns zero for everything = non-functional (likely missing/expired API key or exhausted quota). NOT used this pass; logged as unavailable per PRISMA-S. No data taken (no fabrication)."
S050,2026-06-24,Scopus (MCP),scopus searcher: EEG emotion recognition cross-subject domain adaptation,none,5,5,connectivity-check,Claude,"MCP OK: scopus MCP returned valid records (DOIs/authors/venues incl. IEEE TAFFC). Confirmed connected and usable. Note: MCP does relevance-ranked fuzzy matching and returns a capped page (~12-25 records/call), not full Scopus hit counts."
S051,2026-06-24,Scopus (MCP),"TITLE-ABS-KEY((EEG OR electroencephalography) AND (emotion recognition OR affective computing OR valence OR arousal) AND (cross-subject OR subject-independent OR leave-one-subject-out OR LOSO OR domain adaptation OR domain generalization OR transfer learning OR cross-session OR cross-dataset)) AND PUBYEAR > 2009",2010-present,12,12,literature-screening,Claude,"Core boolean run; MCP honors TITLE-ABS-KEY+PUBYEAR but returns a relevance-ranked capped page. Yielded mix of cross-subject primaries + off-topic surveys/multimodal. Records pooled into scopus_screening_table.csv."
S052,2026-06-24,Scopus (MCP),"6-query batch: AMIGOS cross-subject; domain generalization; few-shot/meta/calibration; cross-dataset; DREAMER subject-independent; SRCTITLE(Affective Computing)",2010-present,32,32,literature-screening,Claude,"Gap-targeted batch. Strict dataset terms (AMIGOS) not hard-filtered by MCP (fuzzy relevance). Surfaced new cross-subject primaries (STSNet, He2022 TCN-ADDA, Adaptive-Source-Joint-DA TAFFC, Deep-Capsule TAFFC, manifold-fusion Hua2021, Bagherzadeh) + dups (EEG-0017/0019/0051). AMIGOS per-dataset LOSO primary still NOT isolated - gap remains open."
S053,2026-06-24,Scopus (MCP),"3-query batch: AMIGOS LOSO deep learning; DREAMER cross-subject domain adaptation; subject-independent GNN adversarial DA SEED/SEED-IV LOSO",2010-present,18,18,literature-screening,Claude,"Method-space sweep. Surfaced CMHFE-DAN, Dynamic-Stream-Selection (IEEE Sensors), Cen2025 conditional-adversarial DA, SSTD (IEEE TCSS), Zhu2025 individual-generic, Bridge-GAT (TAFFC), zero-shot transformer. Still no clean AMIGOS LOSO primary. All unique records consolidated in scopus_screening_table.csv."
