record_id,doi,year,venue,title,llm_decision_raw,llm_decision_mapped,llm_reason,reviewer_decision,reviewer_reason_code,reviewer_notes,protocol_red_flag,protocol_red_flag_type,protocol_red_flag_note,adjudicator_decision,adjudicator_reason_code,adjudicator_notes,protocol_red_flag,protocol_red_flag_type,protocol_red_flag_note
SCR-0079,10.1016/j.asoc.2025.113659,2025,APPLIED SOFT COMPUTING,Enhancing EEG-based individual-generic emotion recognition through invariant sparse patterns ex,include-candidate,include-candidate,EEG cross-subject emotion (journal),exclude,exclude ,subject-dependent-only,,,,exclude,exclude ,subject-dependent-only,,,
SCR-0083,10.1016/j.bbe.2017.05.004,2017,BIOCYBERNETICS AND BIOMEDICAL ENGINEER,Development of a real time emotion classifier based on evoked EEG,include-candidate,include-candidate,EEG cross-subject emotion (journal),exclude,exclude ,private-insufficient,,,,exclude,exclude ,private-insufficient,,,
SCR-0087,10.1016/j.bspc.2021.103289,2022,BIOMEDICAL SIGNAL PROCESSING AND CONTR,Calibration free meta learning based approach for subject independent EEG emotion recognition,known-in-corpus,include-candidate,duplicate,exclude,exclude ,no-subject-separation,unclear,subject-mixed-kfold,few-shot/zero-calibration; verify whether eval folds mix subjects (title/abstract screen noted random 5-fold CV),exclude,exclude ,no-subject-separation,,,
SCR-0089,10.1016/j.bspc.2021.103407,2022,BIOMEDICAL SIGNAL PROCESSING AND CONTR,Deep BiLSTM neural network model for emotion detection using cross-dataset approach,include-candidate,include-candidate,EEG cross-subject emotion (journal),exclude,exclude ,cross-database only,,,,exclude,exclude ,cross-database only,,,
SCR-0090,10.1016/j.bspc.2022.103485,2022,BIOMEDICAL SIGNAL PROCESSING AND CONTR,Learning DenseNet features from EEG based spectrograms for subject independent emotion recognit,include-candidate,include-candidate,EEG cross-subject emotion (journal),exclude,exclude ,no-subject-separation,,,,exclude,exclude ,no-subject-separation,,,
SCR-0096,10.1016/j.bspc.2023.104741,2023,BIOMEDICAL SIGNAL PROCESSING AND CONTR,EEG-based cross-subject emotion recognition using multi-source domain transfer learning,include-candidate,include-candidate,EEG cross-subject emotion (journal),exclude,exclude ,no-subject-separation,,,,include-candidate,include-candidate,EEG cross-subject emotion (journal),,,
SCR-0098,10.1016/j.bspc.2023.104806,2023,BIOMEDICAL SIGNAL PROCESSING AND CONTR,Deep time-frequency features and semi-supervised dimension reduction for subject-independent em,include-candidate,include-candidate,EEG cross-subject emotion (journal),exclude,exclude ,subject-dependent-only,,,,exclude,exclude ,subject-dependent-only,,,
SCR-0099,10.1016/j.bspc.2023.104894,2023,BIOMEDICAL SIGNAL PROCESSING AND CONTR,Design of subject independent 3D VAD emotion detection system using EEG signals and machine lea,include-candidate,include-candidate,EEG cross-subject emotion (journal),exclude,exclude ,no-subject-separation,yes,subject-mixed-kfold,claims subject-independent but uses 80/20 split + 5-fold CV on DEAP (no subject-level separation),exclude,exclude ,no-subject-separation,,,
SCR-0103,10.1016/j.bspc.2023.105136,2023,BIOMEDICAL SIGNAL PROCESSING AND CONTR,A multi-task hybrid emotion recognition network based on EEG signals,include-candidate,include-candidate,EEG cross-subject emotion (journal),exclude,exclude ,no-subject-separation,,,,exclude,exclude ,no-subject-separation,,,
SCR-0108,10.1016/j.bspc.2024.106276,2024,BIOMEDICAL SIGNAL PROCESSING AND CONTR,Exploring non-Euclidean relationships in EEG emotion recognition: A dynamic graph attention net,include-candidate,include-candidate,EEG cross-subject emotion (journal),exclude,exclude ,no-subject-separation,,,,exclude,exclude ,no-subject-separation,,,
SCR-0110,10.1016/j.bspc.2024.106465,2024,BIOMEDICAL SIGNAL PROCESSING AND CONTR,Knowledge distillation based lightweight domain adversarial neural network for electroencephalo,exclude,exclude,not-cross-subject,include-candidate,include,EEG cross-subject emotion (journal),,,,include-candidate,include,EEG cross-subject emotion (journal),,,
SCR-0111,10.1016/j.bspc.2024.106553,2024,BIOMEDICAL SIGNAL PROCESSING AND CONTR,Multimodal machine learning approach for emotion recognition using physiological signals,include-candidate,include-candidate,EEG cross-subject emotion (journal),unclear-needs-fulltext,unclear-needs-fulltext,physiological signals; EEG inclusion unclear,,,,unclear-needs-fulltext,unclear-needs-fulltext,physiological signals; EEG inclusion unclear,,,
SCR-0144,10.1016/j.bspc.2026.110501,2026,BIOMEDICAL SIGNAL PROCESSING AND CONTR,Multi-view cross-modal contrastive representation learning with domain adaptation for multi-mod,exclude,exclude,not-eeg-emotion,include-candidate,include,EEG cross-subject emotion (journal),,,,include-candidate,include,EEG cross-subject emotion (journal),,,
SCR-0149,10.1016/j.comcom.2020.10.004,2020,COMPUTER COMMUNICATIONS,Multi-reservoirs EEG signal feature sensing and recognition method based on generative adversar,include-candidate,include-candidate,EEG cross-subject emotion (journal),unclear-needs-fulltext,unclear-needs-fulltext,construct/emotion not stated in title,no,,full text confirms EEG emotion (DEAP) + LOSO,unclear-needs-fulltext,unclear-needs-fulltext,construct/emotion not stated in title,,,
SCR-0159,10.1016/j.compbiomed.2023.107489,2023,COMPUTERS IN BIOLOGY AND MEDICINE,Wearable-based human flow experience recognition enhanced by transfer learning methods using em,include-candidate,include-candidate,EEG cross-subject emotion (journal),unclear-needs-fulltext,unclear-needs-fulltext,flow-experience; modality unclear,,,,exclude,exclude ,subject-dependent-only,,,
SCR-0167,10.1016/j.eij.2020.07.005,2021,EGYPTIAN INFORMATICS JOURNAL,A 3D-convolutional neural network framework with ensemble learning techniques for multi-modal e,exclude,exclude,not-cross-subject,include-candidate,include,EEG cross-subject emotion (journal),,,,exclude,exclude,not-cross-subject,,,
SCR-0186,10.1016/j.eswa.2026.132121,2026,EXPERT SYSTEMS WITH APPLICATIONS,RA3-FDA: Resource-adaptive federated domain adaptation with dual heterogeneity awareness for EE,exclude,exclude,off-depression,include-candidate,include,EEG cross-subject emotion (journal),,,,exclude,exclude,off-depression,,,
SCR-0188,10.1016/j.heliyon.2025.e41767,2025,HELIYON,Develop an emotion recognition system using jointly connectivity between electroencephalogram a,exclude,exclude,not-cross-subject,include-candidate,include,EEG cross-subject emotion (journal),,,,exclude,exclude,not-cross-subject,,,
SCR-0191,10.1016/j.inffus.2023.102156,2024,INFORMATION FUSION,Multi-view domain-adaptive representation learning for EEG-based emotion recognition,exclude,exclude,not-cross-subject,include-candidate,include,EEG cross-subject emotion (journal),,,,include-candidate,include,EEG cross-subject emotion (journal),,,
SCR-0192,10.1016/j.inffus.2024.102338,2024,INFORMATION FUSION,Online multi-hypergraph fusion learning for cross-subject emotion recognition,exclude,exclude,not-eeg-emotion,include-candidate,include,EEG cross-subject emotion (journal),,,,include-candidate,include,EEG cross-subject emotion (journal),,,
SCR-0198,10.1016/j.ipm.2026.104745,2026,INFORMATION PROCESSING \& MANAGEMENT,Hierarchical dynamic pattern analysis and adaptive fusion of multimodal physiological signals f,exclude,exclude,not-eeg-emotion,unclear-needs-fulltext,unclear-needs-fulltext,multimodal physiological; EEG unclear,,,,include-candidate,include,EEG cross-subject emotion (journal),,,
SCR-0199,10.1016/j.ipm.2026.104939,2026,INFORMATION PROCESSING \& MANAGEMENT,MASSANet: Multiscale adaptive spectral-spatial dual-path attention network for motor imagery de,include-candidate,include-candidate,EEG cross-subject emotion (journal),exclude,off-topic,off-topic: motor imagery decoding,,,,exclude,not-eeg-emotion,off-topic: motor imagery decoding,,,
SCR-0229,10.1016/j.knosys.2026.115551,2026,KNOWLEDGE-BASED SYSTEMS,Estimating dynamical affective state via domain-to-modality level feature integration from eye ,include-candidate,include-candidate,EEG cross-subject emotion (journal),unclear-needs-fulltext,unclear-needs-fulltext,affective state from eye signals; EEG unclear,no,,full text confirms EEG; segment-level leakage controlled,include-candidate,include-candidate,EEG cross-subject emotion (journal),,,
SCR-0230,10.1016/j.knosys.2026.116250,2026,Knowledge-Based Systems,Deep learning-based emotion recognition using unimodal facial expressions or physiological sign,exclude,exclude,nonprimary-review,unclear-needs-fulltext,unclear-needs-fulltext,facial or physiological; EEG unclear,,,,exclude,exclude,non-primary-study,,,
SCR-0240,10.1016/j.neucom.2024.128354,2024,NEUROCOMPUTING,Toward cross-subject and cross-session generalization in EEG-based emotion recognition: Systema,exclude,exclude,nonprimary-review,include-candidate,include,EEG cross-subject emotion (journal),,,,exclude,exclude,non-primary-study,,,
SCR-0253,10.1016/j.neunet.2023.03.039,2023,Neural Networks,A novel semi-supervised meta learning method for subject-transfer brain–computer interface,exclude,exclude,not-eeg-emotion,unclear-needs-fulltext,unclear-needs-fulltext,subject-transfer BCI; construct unclear,,,,include-candidate,include-candidate,EEG cross-subject emotion (journal),,,
SCR-0258,10.1016/j.neunet.2025.107363,2025,NEURAL NETWORKS,Length Uncertainty-Aware Graph Contrastive Fusion Network for multimodal physiological signal e,exclude,exclude,not-eeg-emotion,include-candidate,include,EEG cross-subject emotion (journal),,,,include-candidate,include-candidate,EEG cross-subject emotion (journal),,,
SCR-0274,10.1016/j.sleepe.2026.100137,2026,Sleep Epidemiology,Hybrid vision transformer–BiLSTM for EEG-based sleep apnea severity classification,include-candidate,include-candidate,EEG cross-subject emotion (journal),exclude,off-topic,off-topic: sleep apnea severity,,,,exclude,not-eeg-emotion,off-topic: sleep apnea severity,,,
SCR-0275,10.1016/j.smhl.2021.100261,2022,Smart Health,"EEG classification with spiking neural network: Smaller, better, more energy efficient",include-candidate,include-candidate,EEG cross-subject emotion (journal),unclear-needs-fulltext,unclear-needs-fulltext,generic EEG classification; construct unclear,,,,exclude,exclude,not-cross-subject,,,
SCR-0278,10.1038/s41597-025-05957-y,2025,Scientific Data,CIRE: A Chinese EEG Dataset for decoding speech intention modulated by prosodic  emotion.,include-candidate,include-candidate,EEG cross-subject emotion (journal),exclude,off-topic,off-topic: speech-intention dataset,,,,exclude,exclude,not-eeg-emotion,,,
SCR-0281,10.1038/s41598-024-70508-1,2024,SCIENTIFIC REPORTS,Evaluation of perceived urgency from single-trial EEG data elicited by upper-body vibration fee,include-candidate,include-candidate,EEG cross-subject emotion (journal),exclude,off-topic,off-topic: perceived urgency,,,,exclude,not-eeg-emotion,off-topic: perceived urgency,,,
SCR-0283,10.1038/s41598-025-98404-2,2025,SCIENTIFIC REPORTS,EmoTrans attention based emotion recognition using EEG signals and facial analysis with expert ,exclude,exclude,nonprimary-survey,include-candidate,include,EEG cross-subject emotion (journal),,,,include-candidate,include,EEG cross-subject emotion (journal),,,
SCR-0287,10.1049/ccs2.12111,2024,COGNITIVE COMPUTATION AND SYSTEMS,EF-CorrCA: A multi-modal EEG-fNIRS subject independent model to assess speech quality on brain ,include-candidate,include-candidate,EEG cross-subject emotion (journal),exclude,off-topic,off-topic: speech-quality assessment,,,,exclude,not-eeg-emotion,off-topic: speech-quality assessment,,,
SCR-0289,10.1049/cit2.70056,2025,CAAI TRANSACTIONS ON INTELLIGENCE TECH,TF-MEET: A Transferable Fusion Multi-Band Transformer for Cross-Session EEG Decoding,include-candidate,include-candidate,EEG cross-subject emotion (journal),unclear-needs-fulltext,unclear-needs-fulltext,cross-session EEG decoding; construct unclear,,,,unclear-needs-fulltext,unclear-needs-fulltext,cross-session EEG decoding; construct unclear,,,
SCR-0291,10.1063/5.0236392,2025,REVIEW OF SCIENTIFIC INSTRUMENTS,"Data collection, enhancement, and classification of functional near-infrared  spectroscopy moto",include-candidate,include-candidate,EEG cross-subject emotion (journal),exclude,not-eeg,fNIRS motor study,,,,exclude,not-eeg-emotion,fNIRS motor study,,,
SCR-0294,10.1063/5.0258358,2025,REVIEW OF SCIENTIFIC INSTRUMENTS,EEG-ConvoBLSTM: A novel hybrid model for efficient EEG signal classification,include-candidate,include-candidate,EEG cross-subject emotion (journal),unclear-needs-fulltext,unclear-needs-fulltext,generic EEG classification,,,,unclear-needs-fulltext,unclear-needs-fulltext,generic EEG classification,,,
SCR-0296,10.1080/10255842.2022.2032682,2022,Computer Methods in Biomechanics and B,Hybrid deep convolutional model-based emotion recognition using multiple physiological signals,exclude,exclude,not-eeg-emotion,include-candidate,include,EEG cross-subject emotion (journal),,,,exclude,exclude ,private-insufficient,,,
SCR-0300,10.1080/10447318.2023.2278926,2024,INTERNATIONAL JOURNAL OF HUMAN-COMPUTE,EEG-Based Evaluation of Aesthetic Experience Using BiLSTM Network,include-candidate,include-candidate,EEG cross-subject emotion (journal),unclear-needs-fulltext,unclear-needs-fulltext,aesthetic experience; borderline affective,,,,unclear-needs-fulltext,unclear-needs-fulltext,aesthetic experience; borderline affective,,,
SCR-0307,10.1088/1741-2552/ac7b4a,2022,Journal of Neural Engineering,A novel channel selection scheme for olfactory EEG signal classification on Riemannian manifold,include-candidate,include-candidate,EEG cross-subject emotion (journal),exclude,off-topic,off-topic: olfactory EEG classification,,,,exclude,not-eeg-emotion,off-topic: olfactory EEG classification,,,
SCR-0310,10.1088/1741-2552/acbfe0,2023,JOURNAL OF NEURAL ENGINEERING,Confused or not: decoding brain activity and recognizing confusion in reasoning learning using ,include-candidate,include-candidate,EEG cross-subject emotion (journal),exclude,off-topic,off-topic: confusion detection,,,,exclude,not-eeg-emotion,off-topic: confusion detection,,,
SCR-0316,10.1088/1741-2552/ae204c,2025,JOURNAL OF NEURAL ENGINEERING,P2CSL: cross-subject EEG classification by subspace class prototype-based progressive confident,include-candidate,include-candidate,EEG cross-subject emotion (journal),unclear-needs-fulltext,unclear-needs-fulltext,generic cross-subject EEG classification,,,,unclear-needs-fulltext,unclear-needs-fulltext,generic cross-subject EEG classification,,,
SCR-0334,10.1109/access.2020.3027429,2020,IEEE Access,Electroencephalogram-Based Preference Prediction Using Deep Transfer Learning,include-candidate,include-candidate,EEG cross-subject emotion (journal),exclude,off-topic,off-topic: preference prediction,,,,exclude,not-eeg-emotion,off-topic: preference prediction,,,
SCR-0335,10.1109/access.2020.3045225,2020,IEEE Access,Meta Learn on Constrained Transfer Learning for Low Resource Cross Subject EEG Classification,exclude,exclude,not-eeg-emotion,unclear-needs-fulltext,unclear-needs-fulltext,generic cross-subject EEG classification,,,,unclear-needs-fulltext,unclear-needs-fulltext,generic cross-subject EEG classification,,,
SCR-0336,10.1109/access.2022.3147461,2022,IEEE Access,Subject-Dependent Emotion Recognition System Based on Multidimensional Electroencephalographic ,include-candidate,include-candidate,EEG cross-subject emotion (journal),exclude,subject-dependent-only,title: Subject-Dependent Emotion Recognition System,no,,protocol matches SD claim (correctly excluded at screening),exclude,exclude ,subject-dependent-only,,,
SCR-0349,10.1109/access.2024.3497160,2025,IEEE Access,Emotion Recognition Method Using U-Net Neural Network With Multichannel EEG Features and Differ,exclude,exclude,not-cross-subject,include-candidate,include,EEG cross-subject emotion (journal),unclear,,protocol not extractable from PDF text; needs manual full-text check,exclude,exclude,not-cross-subject,,,
SCR-0351,10.1109/access.2024.3519297,2024,IEEE Access,Which Augmentation Should I Use? An Empirical Investigation of Augmentations for Self-Supervise,exclude,exclude,not-eeg-emotion,unclear-needs-fulltext,unclear-needs-fulltext,augmentation study; construct unclear,,,,exclude,exclude,not-eeg-emotion,,,
SCR-0352,10.1109/access.2025.3530567,2025,IEEE Access,A Pre-Activation Residual Convolutional Network With Attention Modules for High-Resolution Segm,include-candidate,include-candidate,EEG cross-subject emotion (journal),exclude,off-topic,off-topic: high-resolution segmentation,no,,NOTE title 'segmentation' = EEG time-segmentation; this IS an EEG emotion study - earlier off-topic screen was a false exclude,include-candidate,include-candidate,EEG cross-subject emotion (journal),,,
SCR-0356,10.1109/access.2025.3563760,2025,IEEE Access,Deep Learning Model for Analyzing EEG Signal Analysis,exclude,exclude,off-depression,unclear-needs-fulltext,unclear-needs-fulltext,vague title; construct unclear,,,,unclear-needs-fulltext,unclear-needs-fulltext,vague title; construct unclear,,,
SCR-0370,10.1109/jbhi.2022.3212475,2023,IEEE Journal of Biomedical and Health ,A Novel Domain Adversarial Networks Based on 3D-LSTM and Local Domain Discriminator for Hearing,include-candidate,include-candidate,EEG cross-subject emotion (journal),exclude,off-topic,off-topic: hearing-related,no,,NOTE emotion recognition on hearing-impaired population (private HIED); earlier off-topic screen debatable (construct is emotion),exclude,not-eeg-emotion,off-topic: hearing-related,,,
SCR-0373,10.1109/jbhi.2023.3307606,2024,IEEE Journal of Biomedical and Health ,DAST: A Domain-Adaptive Learning Combining Spatio-Temporal Dynamic Attention for Electroencepha,exclude,exclude,not-cross-subject,include-candidate,include,EEG cross-subject emotion (journal),unclear,subject-mixed-kfold,5-fold CV randomly splits trials 8:2; subject-level separation not evident despite domain-adaptive framing,include-candidate,include,EEG cross-subject emotion (journal),,,
SCR-0375,10.1109/jbhi.2023.3315974,2023,IEEE Journal of Biomedical and Health ,MLDA: Multi-Loss Domain Adaptor for Cross-Session and Cross-Emotion EEG-Based Individual Identi,include-candidate,include-candidate,EEG cross-subject emotion (journal),exclude,off-topic,off-topic: individual identification (biometric),,,,exclude,not-eeg-emotion,off-topic: individual identification (biometric),,,
SCR-0376,10.1109/jbhi.2023.3318419,2024,IEEE Journal of Biomedical and Health ,Multi-Resolution Wavelet Fractal Analysis and Subtask Training for Enhancing Few-Shot Noisy Bra,exclude,exclude,not-eeg-emotion,unclear-needs-fulltext,unclear-needs-fulltext,few-shot noisy BCI; construct unclear,,,,unclear-needs-fulltext,unclear-needs-fulltext,few-shot noisy BCI; construct unclear,,,
SCR-0381,10.1109/jbhi.2024.3487012,2025,IEEE Journal of Biomedical and Health ,An On-Board Executable Multi-Feature Transfer-Enhanced Fusion Model for Three-Lead EEG Sensor-A,exclude,exclude,off-depression,include-candidate,include,EEG cross-subject emotion (journal),,,,include-candidate,include,EEG cross-subject emotion (journal),,,
SCR-0384,10.1109/jbhi.2025.3576088,2025,IEEE Journal of Biomedical and Health ,Frequency-Aware Spatial-Temporal Attention Explainable Network for EEG Decoding,include-candidate,include-candidate,EEG cross-subject emotion (journal),unclear-needs-fulltext,unclear-needs-fulltext,EEG decoding; construct unclear,,,,unclear-needs-fulltext,unclear-needs-fulltext,EEG decoding; construct unclear,,,
SCR-0386,10.1109/jbhi.2025.3597398,2026,IEEE Journal of Biomedical and Health ,Multimodal Fusion of Behavioral and Physiological Signals for Enhanced Emotion Recognition via ,exclude,exclude,not-eeg-emotion,include-candidate,include,EEG cross-subject emotion (journal),no,,,include-candidate,include,EEG cross-subject emotion (journal),,,
SCR-0388,10.1109/jbhi.2026.3663725,2026,IEEE Journal of Biomedical and Health ,Subject-Adaptive EEG Decoding via Filter-Bank Neural Architecture Search for BCI Applications,exclude,exclude,not-eeg-emotion,unclear-needs-fulltext,unclear-needs-fulltext,subject-adaptive EEG decoding BCI; construct unclear,,,,unclear-needs-fulltext,unclear-needs-fulltext,subject-adaptive EEG decoding BCI; construct unclear,,,
SCR-0393,10.1109/jbhi.2026.3686008,2026,IEEE Journal of Biomedical and Health ,BR-SFDA: A Source-Target Bidirectional Refined SFDA for Privacy Preserving EEG-based BCIs,include-candidate,include-candidate,EEG cross-subject emotion (journal),unclear-needs-fulltext,unclear-needs-fulltext,source-free EEG BCIs; construct unclear,,,,unclear-needs-fulltext,unclear-needs-fulltext,source-free EEG BCIs; construct unclear,,,
SCR-0402,10.1109/jsen.2024.3358400,2024,IEEE Sensors Journal,Emotion Recognition Based on Selected EEG Signals by Common Spatial Pattern,exclude,exclude,not-cross-subject,include-candidate,include,EEG cross-subject emotion (journal),unclear,subject-mixed-kfold,describes trial-level random 80/20 split (subject-mixed) alongside subject-level split; which used is ambiguous,include-candidate,include,EEG cross-subject emotion (journal),,,
SCR-0404,10.1109/jsen.2024.3492176,2025,IEEE Sensors Journal,Real-Time EEG-Based Driver Drowsiness Detection Based on Convolutional Neural Network With Gumb,include-candidate,include-candidate,EEG cross-subject emotion (journal),exclude,off-topic,off-topic: driver drowsiness,,,,exclude,not-eeg-emotion,off-topic: driver drowsiness,,,
SCR-0406,10.1109/jsen.2025.3587271,2025,IEEE Sensors Journal,Hierarchical Transformer With Auxiliary Learning for Subject-Independent Respiration Emotion Re,include-candidate,include-candidate,EEG cross-subject emotion (journal),exclude,not-eeg,respiration-signal based,,,,exclude,not-eeg-emotion,respiration-signal based,,,
SCR-0409,10.1109/jsen.2025.3645085,2026,IEEE Sensors Journal,Enhancing CNN-Based Motion Sickness Detection Using EEG Signals Weighted by Motion Sickness Dos,include-candidate,include-candidate,EEG cross-subject emotion (journal),exclude,off-topic,off-topic: motion sickness,,,,exclude,not-eeg-emotion,off-topic: motion sickness,,,
SCR-0414,10.1109/lsp.2025.3584273,2025,IEEE Signal Processing Letters,HIA-Net: Hierarchical Interactive Alignment Network for Multimodal Few-Shot Emotion Recognition,exclude,exclude,not-eeg-emotion,include-candidate,include,EEG cross-subject emotion (journal),no,,disclosed few-shot target labels,include-candidate,include,EEG cross-subject emotion (journal),,,
SCR-0417,10.1109/taffc.2015.2496310,2016,IEEE Transactions on Affective Computi,Subject-Independent Odor Pleasantness Classification Using Brain and Peripheral Signals,include-candidate,include-candidate,EEG cross-subject emotion (journal),unclear-needs-fulltext,unclear-needs-fulltext,odor pleasantness; borderline affective,,,,unclear-needs-fulltext,unclear-needs-fulltext,odor pleasantness; borderline affective,,,
SCR-0444,10.1109/taffc.2024.3462603,2025,IEEE Transactions on Affective Computi,Decoding Musical Neural Activity in Patients With Disorders of Consciousness Through Self-Super,include-candidate,include-candidate,EEG cross-subject emotion (journal),exclude,off-topic,off-topic: disorders of consciousness,,,,exclude,not-eeg-emotion,off-topic: disorders of consciousness,,,
SCR-0445,10.1109/taffc.2024.3477302,2025,IEEE Transactions on Affective Computi,The fNIRS-Based Emotion Recognition by Spatial Transformer and WGAN Data Augmentation Toward De,include-candidate,include-candidate,EEG cross-subject emotion (journal),exclude,not-eeg,fNIRS-based emotion,,,,exclude,not-eeg-emotion,fNIRS-based emotion,,,
SCR-0467,10.1109/taffc.2025.3605833,2025,IEEE Transactions on Affective Computi,LibEER: A Comprehensive Benchmark and Algorithm Library for EEG-Based Emotion Recognition,exclude,exclude,not-cross-subject,unclear-needs-fulltext,unclear-needs-fulltext,benchmark/library resource; verify at full text,no,,leakage-aware benchmark resource (LibEER); protocol-standards reference (not off-topic),unclear-needs-fulltext,unclear-needs-fulltext,benchmark/library resource; verify at full text,,,
SCR-0473,10.1109/taffc.2025.3638592,2026,IEEE Transactions on Affective Computi,Gram: A Large General EEG Model for Raw Data Classification and Restoration,include-candidate,include-candidate,EEG cross-subject emotion (journal),unclear-needs-fulltext,unclear-needs-fulltext,general EEG foundation model; not emotion-specific,,,,unclear-needs-fulltext,unclear-needs-fulltext,general EEG foundation model; not emotion-specific,,,
SCR-0476,10.1109/taffc.2025.3646189,2026,IEEE Transactions on Affective Computi,WDANet: Wasserstein Distribution Inspired Dynamic Adversarial Network for EEG-Based Cross-Domai,exclude,exclude,off-depression,include-candidate,include,EEG cross-subject emotion (journal),,,,include-candidate,include,EEG cross-subject emotion (journal),,,
SCR-0481,10.1109/taffc.2026.3670015,2026,IEEE Transactions on Affective Computi,Toward a Realistic Encoding Model of Auditory Affective Understanding in the Brain,exclude,exclude,not-eeg-emotion,unclear-needs-fulltext,unclear-needs-fulltext,auditory-affective encoding model; not recognition,unclear,other,encoding/regression study (not classification); protocol is not a cross-subject recognition benchmark; reconsider scope,unclear-needs-fulltext,unclear-needs-fulltext,auditory-affective encoding model; not recognition,,,
SCR-0487,10.1109/taffc.2026.3684827,2026,IEEE Transactions on Affective Computi,Data Distribution Evolution for Robust EEG Emotion Recognition with Limited Data Resource,exclude,exclude,not-cross-subject,include-candidate,include,EEG cross-subject emotion (journal),no,,,include-candidate,include,EEG cross-subject emotion (journal),,,
SCR-0488,10.1109/taffc.2026.3691107,2026,IEEE Transactions on Affective Computi,A Low-Rank Approximation based Multi-modal Multi-level Disentangling Network for Efficient Emot,exclude,exclude,not-eeg-emotion,include-candidate,include,EEG cross-subject emotion (journal),no,,,include-candidate,include,EEG cross-subject emotion (journal),,,
SCR-0489,10.1109/taffc.2026.3691981,2026,IEEE Transactions on Affective Computi,DTHFormer: Dual Token Hierarchical Transformer Network for Fine-Grained Emotion Recognition,exclude,exclude,not-eeg-emotion,include-candidate,include,EEG cross-subject emotion (journal),no,,,include-candidate,include,EEG cross-subject emotion (journal),,,
