paper_id,dataset_clarity,protocol_clarity,subject_independent_validity,train_val_test_separation,preproc_inside_cv,hyperparam_selection_clarity,target_data_usage_disclosure,statistical_reporting,baseline_strength,reproducibility_code,leakage_risk_item,affective_theory_relevance,total_score,max_score,percent,quality_band,fatal_flag,fatal_reason,notes
EEG-0016,2,2,2,1,1,1,2,1,1,1,1,2,17,24,70.8,Moderate,no,,UPGRADED to full text (IEEE TNSRE vol29 PDF). NO-FABRICATION CATCH: prior 72.81 is NOT in the paper; real DEAP subj-indep unsupervised LOSO acc V 56.44/A 58.55/D 61.71/Liking 65.89; tables give point values only (no SD -> stat_reporting=1); unsupervised inductive; within-paradigm baselines
EEG-0017,2,2,2,1,1,1,2,2,2,1,1,2,19,24,79.2,Moderate,no,,UPGRADED to full text (KBS vol276 PDF): Table 4 DREAMER V 80.43/8.01 A 83.33/11.24; Table 3 DEAP V 71.33/5.24 A 73.28/7.74; subject-independent LOSOCV inductive; mean+std+5 metrics+per-subject; strong DL baselines; no public code
EEG-0024,2,2,2,1,1,1,2,2,2,2,1,2,20,24,83.3,High,no,,full text via ar5iv; SEED 91.35/7.03 SEED-IV 65.53/8.31; LOSO transductive + semi-supervised SOURCE labels (disclosed - not hidden leakage); code github.com/KAZABANA/EEGMatch verified; strong DA baselines; mean+SD; leakage_item=1 (transductive + acc averaged over labeled-trial budget N)
EEG-0042,2,2,2,1,1,1,2,2,2,2,1,2,20,24,83.3,High,no,,"full text via ar5iv; SEED 85.56/4.78 (cross-session) SEED-IV 74.92/7.92; transductive (target pseudo-labels, disclosed); code github.com/KAZABANA/PR-PL verified; mean+SD; leakage_item=1 (transductive + single-session 93.06 vs cross-session 85.56 protocol ambiguity)"
EEG-0044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,NA,not-scored,no,,"NARRATIVE include (foundation/pretraining, mdJPT); abstract-verified only, no benchmark accuracy -> rubric not applicable yet; rescore after full-text extraction; code ncclab-sustech/mdJPT_nips2025"
EEG-0045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,NA,not-scored,no,,"NARRATIVE include (cross-corpus EEG-SCMM); abstract-verified only, relative gain +4.26pct, no absolute number -> rubric not applicable yet; rescore after full-text; code Kyler-RL/SCMM"
EEG-0027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,NA,not-scored,no,,NARRATIVE/methodological include (degradation-causes analysis); no benchmark result -> rubric not applicable; cited in Discussion for leakage/eval-protocol importance
EEG-0050,2,2,1,0,0,1,1,1,1,1,0,2,12,24,50.0,Low,no,,"VERIFIED leakage exemplar (full text). Stratified normalization per participant+session INCLUDES held-out test subject -> uses target-subject statistics (effectively transductive); 3 zeros on train/test-separation, preproc-in-CV, leakage-item. Ternary 79.6 (stratified) vs 67.1 (batch norm) = +12.5pts inflation, undisclosed. First LOW-band study; include_meta=no. fatal_flag=no (uses UNLABELED target stats only - transductive not label leakage) but presented/compared as if inductive = comparability flaw"
EEG-0054,2,2,2,2,1,2,2,2,1,1,2,2,21,24,87.5,High,no,,"clean, methodologically careful (root-folder PDF). DEAP-only; subject-level 70:20:10 split; Test Setup II zero-calibration cross-subject val 69.92/aro 68.89; mean+SD across folds; CORRECTION: secondary 98pct was FABRICATED - not in paper; only weakness is no public code (item 10) + modest baselines (item 9)"
EEG-0053,2,2,2,1,1,1,2,2,2,2,1,2,20,24,83.3,High,no,,PESD pretrained-ViT DA (root-folder PDF). Cross-subject SEED 87.02/4.36; cross-DATASET 93.14/93.53/92.55 are TRANSDUCTIVE + target-supervised (not inductive) -> leakage_inflation_cases Case 3; public code; strong Table-2 baselines; hyperparams transferred from SEED (item 6=1); cross-dataset labeling/relabeling ambiguity (leakage item=1)
EEG-0057,2,1,0,0,1,1,0,1,1,1,0,2,10,24,41.7,Low,yes,confirmed SUBJECT leakage + trial/stimulus leakage: paper states 'same subject and same stimuli could be both in the training set and testing set' while claiming user-independent,"FIRST FATAL FLAG in corpus (full text PMC7727848). Near-ceiling DEAP 98.93/99.10 SEED 99.63 from subject+trial leakage; subject_independent_validity=0, train/test-sep=0, target-disclosure=0 (misrepresented), leakage-item=0; include_meta=no; documented leakage_inflation_cases Case 4"
EEG-0020,2,2,2,1,1,1,2,2,2,1,1,2,19,24,79.2,Moderate,no,,"CLISA full text (IEEE TAC 2022). SEED 3-class LOSO 86.4/6.4; mean+SD+t-tests+Bonferroni; strong baselines (DResNet/PPDA/SeqCLR). TRANSDUCTIVE: prediction uses online adaptive feature normalization with test-subject data (decay 0.99) + stratified norm in training -> train/test-sep=1, preproc-in-cv=1, leakage-item=1; disclosed (not hidden). No verified public code (item 10=1). THU-EP main dataset out-of-scope"
EEG-0009,2,2,2,1,1,1,2,2,2,1,1,2,19,24,79.2,Moderate,no,,"SDC-Net full text (PREPRINT, arXiv 2507.17524). SEED 91.85/5.98 SEED-IV 74.88/10.47; transductive label-free DA (disclosed); mean+SD+ablations; large same-protocol baseline table (corroborates RGNN/BiHDM/MS-MDA/CLISA). Code 'to be released' github.com/XuanSuTrum/SDC-Net -> item 10=1; authors/venue unverified"
EEG-0011,2,2,2,2,1,1,2,1,1,1,1,2,18,24,75.0,Moderate,no,,"Source-free UDA (PREPRINT, arXiv 2504.03707). Cross-dataset 2-class DEAP->SEED 65.84 / SEED->DEAP 58.99; clean cross-dataset separation (no source data at adaptation -> train/test-sep=2); SINGLE accuracy, NO SD -> statistical_reporting=1, include_meta=no (narrative); within-paper baselines only; no code; corroborates realistic cross-dataset ~58-67%"
EEG-0010,2,2,2,1,1,1,2,2,2,1,1,2,19,24,79.2,Moderate,no,,"HEDN full text (PREPRINT, arXiv 2511.06782). SEED 94.00/7.05 SEED-IV 79.36/9.62 DEAP V73.07/A73.20; transductive LOSO (unlabeled target, no target labels - disclosed); strong stat reporting (mean+SD+5-seed stability+best-vs-final); large same-protocol baseline table (reproduces MS-MDA exactly, 3rd corroboration). No public code (item 10=1); authors/venue unverified"
EEG-0043,2,2,2,1,1,1,2,2,2,2,1,2,20,24,83.3,High,no,,"DAMSDAN full text (PREPRINT, arXiv 2510.17475). SEED 94.86/4.87 SEED-IV 82.48/8.02 FACED-binary 82.88/7.71; transductive LOSO (pseudo-labels - disclosed, NOT leakage); mean+SD+ablations; code VERIFIED github.com/ZJUTofBrainIntelligence/DAMSDAN (item 10=2 -> High). NOTE its Table II reproduces MS-MDA SEED at 81.43/10.17 vs primary 89.63 (reproduction divergence)"
EEG-0022,2,2,2,2,1,1,2,2,2,2,2,2,22,24,91.7,High,no,,"RSM-CoDG full text (PREPRINT, arXiv 2601.15615). HIGHEST-SCORING in corpus. FIRST inductive DOMAIN-GENERALIZATION (no target data, stratum K): train/test-sep=2, leakage-item=2 (cleanest protocol). SEED 86.35/7.17 SEED-IV 71.59/9.78 SEED-V 62.77/8.86; mean+SD+F1+sens+spec; large baseline set; code VERIFIED github.com/RyanLi-X/RSM-CoDG. Inductive 86.35 matches transductive CLISA/RGNN. min-max norm scope unclear (preproc-in-cv=1)"
EEG-0035,2,2,2,1,1,1,2,2,2,1,1,2,19,24,79.2,Moderate,no,,"DAGAM full text (PREPRINT, arXiv 2202.12948). SEED 92.59/3.21 SEED-IV 80.74/4.14; transductive LOOCV domain-adversarial-on-graph (disclosed); mean+SD+ablations; Table 1 corroborates DGCNN/BiDANN-S/BiHDM/RGNN. No public code (item 10=1)"
EEG-0033,2,2,2,2,2,1,2,1,1,2,2,2,21,24,87.5,High,no,,"LGF/MAET full text (PREPRINT, arXiv 2601.08094). INDUCTIVE: subject-wise norm on TRAINING subjects only (preproc-in-cv=2, train/test-sep=2, leakage-item=2 - among cleanest). SEED-VII 7-class 40.1 Acc / 38.7 Macro-F1; NO SD -> statistical_reporting=1, include_meta=no (narrative). Modest baseline set (item 9=1); code VERIFIED github.com/Danielz-z/LGF-EEG-Emotion. New dataset SEED-VII"
EEG-0021,2,2,2,1,1,1,2,2,2,1,1,2,19,24,79.2,Moderate,no,,"FACE full text (arXiv 2503.18998, under review). FEW-SHOT WITH TARGET LABELS (K-shot calibration) - separate stratum. SEED 5-shot 93.96/2.70 (10-shot 96.72), SEED-IV 89.51/3.13, SEED-V 95.20/1.42; mean+SD+t-tests+multi-shot; large baseline table. Uses target labels by design (train/test-sep=1, leakage-item=1 - disclosed, most permissive). No public code (item 10=1)"
EEG-0030,2,2,2,2,1,1,2,2,2,1,1,2,20,24,83.3,High,no,,"E2STN full text (PREPRINT, arXiv 2308.05767). Cross-dataset transductive style transfer across SEED/SEED-IV/MPED; uses target STYLE (unlabeled), no target labels. 3-cat e.g. MPED->SEED 73.51/7.23, SEED-IV->SEED 60.51/5.41; mean+SD+S-W+t-test; baselines BiDANN/TANN/GECNN. include_meta=no (cross-dataset singletons). No code. New dataset MPED"
EEG-0047,2,2,2,2,1,1,2,1,2,1,1,2,19,24,79.2,Moderate,no,,"Cross-dataset UDA full text (PREPRINT, arXiv 2411.12852; extends Imtiaz & Khan). DEAP<->SEED 2-class transductive (unlabeled target + PC-TTA, no target labels); DEAP->SEED 67.44, SEED->DEAP 59.68; NO SD (Table 2 point acc, boxplots only) -> statistical_reporting=1, include_meta=no. CORROBORATES EEG-0011 (~59-67%). No clear code repo"
EEG-0058,2,2,2,1,1,1,2,1,2,1,2,2,19,24,79.2,Moderate,no,,transductive LOSO (Emo-DD); SEED 85.75/SEED-IV 72.36; SD in table not transcribed; reproduces DGCNN/BiDANN-S baselines
EEG-0059,2,2,2,1,1,1,2,2,1,1,2,2,19,24,79.2,Moderate,no,,AD-TCN transductive LOSO (CBM 2022 journal); DEAP V64.33/7.06 A63.25/4.62 + per-subject + t-test; DREAMER no SD; realistic
EEG-0060,2,2,2,1,1,1,2,2,2,2,2,2,21,24,87.5,High,no,,ASJDA TAFFC; transductive LOSO; SEED 93.75/11.39 (all-session 97.78/7.15); SD reported; code public; strong baselines
EEG-0063,2,2,2,1,1,1,2,2,2,2,2,2,21,24,87.5,High,no,,FDDGNet inductive domain-generalization (no target); AMIGOS 0.7466/0.053 + DREAMER 0.7507/0.041; SD+multi-metric; code public; 2nd AMIGOS source
EEG-0064,2,1,1,1,0,1,2,1,1,1,1,2,14,24,58.3,Low,no,,FLAG: TAFFC EmoCaps; grouped 10-fold-by-subject; DEAP 'subject-independent' 91-93% implausible vs LOSO ~57-65 -> leakage-suspect (undisclosed norm/segment); no SD
EEG-0065,2,2,2,1,1,1,2,1,1,1,1,2,17,24,70.8,Moderate,no,,STSNet inductive LOSOCV; DEAP V69.38/A71.88 DREAMER V78.26/A82.37; no SD; DREAMER recall ~0.92-1.0 imbalance
EEG-0066,2,2,2,1,1,1,2,2,1,1,2,2,19,24,79.2,Moderate,no,,MF-DFS transductive GFK manifold LOSO; weak non-deep (3-class per dim) DEAP/MAHNOB/SEED ~0.40-0.54; SDs in tables
EEG-0067,2,2,1,1,1,1,2,1,1,1,1,2,16,24,66.7,Moderate,no,,FLAG: inductive LOSO 2-channel SEED family; SEED-V 5cls 78.12 implausible -> selection/window-leakage suspect; abstract-level
EEG-0068,2,2,2,1,1,1,2,1,1,1,1,2,17,24,70.8,Moderate,no,,CMHFE-DAN transductive LOSO (DANN); DEAP SI V78.20/A79.91 DREAMER V64.73/A79.91; no SD on SI; DEAP recall ~92% imbalance-aided
EEG-0070,2,2,2,1,1,1,2,1,1,1,2,2,18,24,75.0,Moderate,no,,CA2DANet transductive LOSO (test=target for DA); SEED SI 81.05; SD in figure not transcribed; subject-dependent 96.29 unused
EEG-0071,2,2,2,1,1,1,2,1,1,1,1,2,17,24,70.8,Moderate,no,,SSTD inductive LOSOCV (+demographic); DEAP V68.28/A71.48 DREAMER V76.81/A81.64; authors reject random k-fold to avoid leakage; no clear SD
EEG-0073,2,2,2,1,1,1,2,2,2,1,2,2,20,24,83.3,High,no,,BGAGCN-MT TAFFC; INDUCTIVE LOSO SEED 89.66/4.72 (beats transductive PR-PL/UDDA); SEED-IV 75.78; strong inductive result
EEG-0074,2,1,1,1,0,1,1,1,1,1,0,2,12,24,50.0,Low,no,,FLAG: TCYB UACL-Net; SEED 94.88/3.86 plausible but DEAP~98/DREAMER~99/FACED~99 near-ceiling + ambiguous 'cross-validation' table -> not credible cross-subject
EEG-0077,2,2,2,1,1,1,2,1,1,1,2,2,18,24,75.0,Moderate,no,,Bi-Stream inductive LOSO; DEAP V63.10/A61.89 DREAMER V61.88/A64.25; realistic; no SD
EEG-0078,2,2,2,1,1,1,2,1,1,1,2,2,18,24,75.0,Moderate,no,,Bendrich AMIGOS EEG-only LOPO (subject-independent); valence F1 0.741/arousal 0.699; closes AMIGOS gap (1st source); no SD; F1 metric
EEG-0079,2,2,2,1,1,1,2,1,1,1,2,2,18,24,75.0,Moderate,no,,Priyasad inductive LOSO; DEAP V69.43/A69.72/D70.72 DREAMER V64.98/A63.71/D61.81; 10CV 88% subject-mixed (disclosed); realistic
EEG-0081,2,2,2,1,1,1,2,1,1,1,2,2,18,24,75.0,Moderate,no,,Paredes cross-dataset DREAMER->SEED-VII transductive DA F1 0.619; within-dataset 5-fold 0.945 subject-mixed (excluded); new pair
EEG-0084,2,2,2,1,1,1,2,1,1,1,1,2,17,24,70.8,Moderate,no,,"MLT-EDCC; LOSOCV cross-subject ~67-71%; abstract headline 96-98% is 10-fold subject-MIXED eval-inflation (disclosed Table 9, ~27pt) -> leakage_inflation Case 5; no SD on LOSOCV"
EEG-0086,2,2,2,1,1,1,2,2,1,1,2,2,19,24,79.2,Moderate,no,,curriculum multi-source DA (Neurocomputing 2026; user bonus); transductive LOSO DEAP-V 62.99/5.72 SEED 64.16/8.29; SD reported; conservative numbers
EEG-0087,2,2,2,1,1,1,2,2,2,1,2,2,20,24,83.3,High,no,,"GA-PDPL inductive LOSO; SEED 69.89/14.39, MPED-7cls 24.87/5.83, GAMEEMO-2 64.34/6.44 (NEW dataset), GAMEEMO-4 49.01/8.46; CI+SEM reported; credible low multi-class numbers"
EEG-0088,2,1,1,1,1,1,1,1,1,1,0,2,13,24,54.2,Low,no,,"FLAG: CSCL cross-subject; SEED 97.7/CEED 96.15 implausible (leakage-tier) -> suspect, not pooled; documents FACED-9cls 65.98/4.09 and MPED-7cls 51.30/3.3 coverage"
EEG-0089,2,2,2,1,1,1,2,2,1,1,2,2,19,24,79.2,Moderate,no,,"MSHCL inductive contrastive; SEED 89.3/4.4, MPED-7 38.8/7.1, FACED 77.0/3.6 (broadens MPED/FACED)"
EEG-0090,2,2,2,1,1,1,2,1,1,1,2,2,18,24,75.0,Moderate,no,,"FCPL; SEED 89.88, MPED-7 28.81 cross-subject (honest near-chance multi-class)"
EEG-0091,2,2,2,1,1,1,2,1,1,1,2,2,18,24,75.0,Moderate,no,,DAPLP transductive; SEED 89.44/SEED-IV 74.57/SEED-V 69.15 (adds SEED-V)
EEG-0092,2,2,2,1,1,1,2,1,1,1,1,2,17,24,70.8,Moderate,no,,MMSTG-Net; SEED-VII 63.06 (7cls)/SEED-IV 84.85 (adds SEED-VII)
EEG-0093,2,1,2,1,1,1,1,1,1,1,1,2,15,24,62.5,Moderate,no,,ST-AlignNet; DEAP 70.86/MAHNOB 70.73 (adds MAHNOB); venue/DOI to confirm
EEG-0095,2,2,2,1,1,1,2,1,1,1,1,2,17,24,70.8,Moderate,no,,SS-EMERGE LOSO SEED 92.35/SEED-IV 81.51
EEG-0097,2,2,2,1,1,1,2,1,1,1,1,2,17,24,70.8,Moderate,no,,Conditional adversarial DA SEED 93.62/SEED-IV 82.16
EEG-0099,2,2,2,1,1,1,2,1,1,1,1,2,17,24,70.8,Moderate,no,,Class-informed adversarial DA SEED 90.21/SEED-IV 77.50
EEG-0101,2,1,1,1,1,1,2,1,1,1,0,2,14,24,58.3,Low,no,,FLAG suspect: GAMEEMO 99.50/DREAMER 98.79 cross-subject implausible
EEG-0102,2,1,1,1,1,1,1,1,1,1,0,2,13,24,54.2,Low,no,,FLAG suspect: DREAMER 96/MAHNOB 96.23 near-ceiling; multimodal
EEG-0105,2,2,2,1,1,1,2,2,1,1,1,2,18,24,75.0,Moderate,no,,"MSDT-GMDA transductive; SEED 94.69/5.16 single-session (META, flagged high)"
EEG-0106,2,2,2,1,1,1,2,2,1,1,1,2,18,24,75.0,Moderate,no,,"Multisource deep clustering transductive; SEED 90.69/9.28, SEED-IV 74.35/12.06 (META)"
EEG-0107,2,2,2,1,1,1,2,2,1,1,1,2,18,24,75.0,Moderate,no,,"SCVAE-Net transductive; SEED 95.01/6.67, SEED-IV 74.94/9.88 (META, SEED flagged high)"
EEG-0108,2,2,2,1,1,1,2,2,1,1,1,2,18,24,75.0,Moderate,no,,"Gated multi-source UDA; SEED 92.54/4.10, DEAP 65.59/5.50 (META); SEED-IV 85.86/2.60 suspect-excluded"
EEG-0109,2,2,1,1,1,1,2,2,1,1,0,2,16,24,66.7,Moderate,yes,near-ceiling cross-subject (leakage-suspect),"FLAG suspect: PMAN SEED 97.03/1.65, SEED-IV 88.18/4.55 near-ceiling -> excluded from pooling"
EEG-0110,2,2,2,1,1,1,2,1,1,1,1,2,17,24,70.8,Moderate,no,,SOGPCN inductive SEED 94.22 (high)
EEG-0111,2,1,2,1,1,1,2,1,1,1,1,2,16,24,66.7,Moderate,no,,"SECT inductive SEED 85.43, DEAP val 66.83"
EEG-0112,2,1,1,1,1,1,1,1,1,1,0,2,13,24,54.2,Low,yes,near-ceiling cross-subject (leakage-suspect),FLAG suspect: CLRA DEAP 95+/SEED 95.16 near-ceiling
EEG-0113,2,2,2,1,1,1,2,1,1,1,2,2,18,24,75.0,Moderate,no,,Multi-view self-sup few-shot (90 samples) SEED 69.72/SEED-IV 62.87
EEG-0114,2,1,1,1,1,1,2,1,1,1,0,2,14,24,58.3,Low,no,,"FLAG: Rashomon-GNN DEAP F1 91.96 (metric=F1, not pooled)"
EEG-0115,2,2,2,1,1,1,2,1,1,1,2,2,18,24,75.0,Moderate,no,,Pretrained-CNN SEED 78.34/DEAP 72.81/LUMED 81.8
EEG-0116,2,1,2,1,1,1,1,1,1,1,1,2,15,24,62.5,Moderate,no,,Multi-reservoirs GAN DEAP LOSO 4-class 54.87 (honest low)
EEG-0117,2,1,1,1,1,1,1,1,1,1,0,2,13,24,54.2,Low,no,,FLAG: PCA-CNN DEAP 81.40 tiny SD (fold-CV not LOSO)
EEG-0118,2,1,1,1,1,1,1,1,1,1,0,2,13,24,54.2,Low,yes,near-ceiling cross-subject (leakage-suspect),FLAG suspect: MECAM subject-independent >90% most tasks
EEG-0119,2,2,2,1,1,1,2,1,1,1,1,2,17,24,70.8,Moderate,no,,MWACN transductive SEED 87.59/SEED-IV 74.38
EEG-0120,2,2,2,1,1,1,2,1,1,1,1,2,17,24,70.8,Moderate,no,,MS-ADA transductive SEED 86.16/DEAP 65.59/SEED-IV 59.29
EEG-0121,2,1,2,1,1,1,2,1,1,1,1,2,16,24,66.7,Moderate,no,,HV-flow transductive SEED 84.22
EEG-0122,2,1,2,1,1,1,1,1,2,0,2,2,16,24,66.7,Moderate,no,,CLAE contrastive; SEED CS 89.61 (no SD); THU-EP 9-class 50.86/6.34; target-use ambiguous
EEG-0123,2,2,2,1,1,1,2,2,2,0,2,2,19,24,79.2,Moderate,no,,CPT-LS inductive LOSO; SEED 87.70/6.15 meta; SEED-IV/DEAP narrative
EEG-0124,2,0,0,0,0,1,1,1,1,0,0,2,8,24,33.3,Low,no,,DBM-BiMamba 'ten-fold subject-independent' DEAP ~95% implausible -> near-ceiling leakage suspect
EEG-0125,2,1,1,1,1,1,1,2,2,0,1,2,15,24,62.5,Moderate,no,,dual-branch SSL; pretrain+fine-tune; SD over runs; DEAP-V 89.01 suspect
EEG-0126,2,1,1,1,1,1,1,2,2,0,1,2,15,24,62.5,Moderate,no,,SCTMSA; SEED-IV CS 89.48 unusually high; per-band fusion; verify
EEG-0127,2,2,2,1,1,1,2,2,2,0,2,2,19,24,79.2,Moderate,no,,"AST-CLNet inductive LOSO; SEED 87.94/6.97, SEED-IV 82.35/6.04 meta; DEAP V/A realistic"
EEG-0128,2,1,1,1,1,1,2,2,2,0,1,2,16,24,66.7,Moderate,no,,ATLG semi-supervised (target labels used); SEED 83.69/6.83; excluded from meta
EEG-0129,1,1,1,1,1,1,1,1,1,0,1,2,12,24,50.0,Low,no,,Capsule USUR LOSO; honest avg ~51% (best-case 100% per-epoch artifact); cited nums in text
EEG-0130,2,2,2,1,1,1,2,1,2,0,2,2,18,24,75.0,Moderate,no,,C2FDA open-set cross-dataset DA; SEED->SEED-IV/V 41.5/42.6/48.9
EEG-0131,2,2,2,1,1,1,2,1,2,0,2,2,18,24,75.0,Moderate,no,,CIHL cross-dataset; SEED-VII->SEED-V 36.38
EEG-0132,2,1,1,1,1,1,1,1,2,0,1,2,14,24,58.3,Low,no,,CRTL DEAP ~90-91% implausible for UDA -> near-ceiling suspect; verify target use
EEG-0133,2,2,2,1,1,1,2,1,1,0,2,2,17,24,70.8,Moderate,no,,"4-channel CNN; subject-independent LOSO DEAP-V 69.80, SEED 64.92"
EEG-0134,2,2,1,1,1,1,2,1,2,0,1,2,16,24,66.7,Moderate,no,,"MSRN meta-transfer (target adaptation); SEED 87.05, DEAP-V 71.29, DEAP-A 71.92"
EEG-0135,2,2,2,1,1,1,2,1,2,0,2,2,18,24,75.0,Moderate,no,,"RGT-GAA transductive; SEED 89.23, DEAP-V 66.4, DEAP-A 68.1"
EEG-0136,2,2,2,1,1,1,2,1,2,0,2,2,18,24,75.0,Moderate,no,,"multi-source manifold transductive; SEED 86.59, DEAP 64.40"
EEG-0137,2,2,2,1,1,1,2,1,2,0,2,2,18,24,75.0,Moderate,no,,"SRDANN MMD DA transductive; SEED 84.68, SEED-IV 74.97, MPED 26.56"
EEG-0138,2,2,2,1,1,1,2,2,2,0,2,2,19,24,79.2,Moderate,no,,BrainAMDANN transductive; SEED LOSOCV 78.87/8.91 meta
EEG-0139,2,2,2,1,1,1,1,2,2,0,2,2,18,24,75.0,Moderate,no,,DDMGCN subject-independent SEED 60.79/7.00 (low); subject-dependent PSD ~97.5%
EEG-0140,2,1,0,0,0,1,1,1,1,0,0,2,9,24,37.5,Low,no,,DIMER DEAP SI 94.82 ~= SD 95.07 -> near-ceiling leakage suspect
EEG-0141,1,0,0,0,0,1,0,1,1,0,0,2,6,24,25.0,Low,no,,EDS 3D-VAD 12-class 99.82% 'subject-independent' implausible -> leakage suspect
EEG-0142,2,2,2,1,1,1,2,2,2,0,1,2,18,24,75.0,Moderate,no,,"DANN-MAT transductive; SEED 95.74/3.26, SEED-IV 86.75/5.96 (high, tight SD)"
EEG-0143,2,0,0,0,0,1,1,1,1,2,0,2,10,24,41.7,Low,no,,MS-TimesNet pools 32 subjects then splits = subject-mixed leakage; code available
EEG-0144,2,1,1,1,1,1,1,1,2,0,1,2,14,24,58.3,Low,no,,GCN+LSTM DEAP SI 84.81/85.27 high; no SD
EEG-0145,2,2,2,1,1,1,2,2,2,0,2,2,19,24,79.2,Moderate,no,,SLT SA-CNN inductive LOSO mean+-SD DEAP & DREAMER (meta)
EEG-0146,2,1,1,1,1,1,1,1,2,0,1,2,14,24,58.3,Low,no,,DSMT-CapsNet SI SEED 91.12/DEAP 81.70/DREAMER 75.89 (high; SI/SD table discrepancy)
EEG-0147,1,1,1,1,1,1,1,1,2,0,1,2,13,24,54.2,Low,no,,ML+clustering SD adaptation; research model 79.5% (SEED tentative)
EEG-0148,2,2,2,1,1,1,2,1,2,0,2,2,18,24,75.0,Moderate,no,,Enhanced cross-dataset UDA; SEED<->DEAP 67.44/59.68
EEG-0149,2,2,2,1,1,1,1,1,2,0,2,2,17,24,70.8,Moderate,no,,"MSMMTL multi-source manifold; SEED 88.83, DEAP 65.04"
EEG-0150,2,2,2,1,1,1,2,1,2,0,2,2,18,24,75.0,Moderate,no,,GDAKF transductive; DEAP 63.85
EEG-0151,2,2,2,1,1,1,2,2,2,0,1,2,18,24,75.0,Moderate,no,,"HEAT transductive; SEED 95.37/5.17 (high), SEED-IV 82.50/9.28, DEAP-V/A 72.6"
EEG-0152,2,2,2,1,1,1,2,2,2,0,2,2,19,24,79.2,Moderate,no,,"sex-diff inductive; SEED 81.5/7.8, SEED-IV 74.6/8.3, SEED-V 78.1"
EEG-0153,2,2,2,1,1,1,1,2,2,0,1,2,17,24,70.8,Moderate,no,,"MFA-LR transductive; per-session (best SEED 89.11/7.72, avg 85.27); SEED-IV 69.58"
EEG-0154,2,2,2,1,1,1,2,2,2,0,2,2,19,24,79.2,Moderate,no,,"MG-DA transductive; cross-subject SEED 90.17/4.27, SEED-IV 77.55/8.05"
EEG-0155,2,2,2,1,1,1,2,2,2,0,1,2,18,24,75.0,Moderate,no,,"MGFKD semi-supervised 1-shot; SEED 87.51/7.68, SEED-IV 68.79/8.25"
EEG-0156,2,1,2,1,1,1,1,2,2,0,1,2,16,24,66.7,Moderate,no,,"MGGL subject-independent SEED 90.15/2.11, SEED-IV 67.34/4.64, DEAP 64.87/4.83 (label-fraction ambiguity)"
